iter	Passed	Remaining
1068	5621	46961
1069	5626	46959
1070	5631	46946
1071	5636	46941
1072	5642	46940
1073	5647	46935
1074	5653	46934
1075	5658	46929
1076	5664	46928
1077	5669	46926
1078	5675	46926
1079	5681	46922
1080	5687	46928
1081	5693	46927
1082	5697	46913
1083	5702	46905
1084	5709	46908
1085	5714	46901
1086	5720	46905
1087	5724	46892
1088	5729	46884
1089	5735	46883
1090	5741	46883
1091	5746	46880
1092	5752	46877
1093	5759	46883
1094	5764	46881
1095	5770	46878
1096	5775	46872
1097	5780	46864
1098	5785	46855
1099	5789	46844
1100	5794	46834
1101	5800	46832
1102	5806	46835
1103	5812	46832
1104	5816	46823
1105	5822	46825
1106	5828	46822
1107	5833	46816
1108	5838	46810
1109	5843	46796
1110	5848	46793
1111	5853	46783
1112	5858	46779
1113	5863	46774
1114	5868	46765
1115	5873	46754
1116	5878	46749
1117	5883	46742
1118	5888	46734
1119	5893	46726
1120	5898	46720
1121	5904	46717
1122	5909	46716
1123	5914	46703
1124	5919	46699
1125	5923	46685
1126	5928	46677
1127	5934	46675
1128	5938	46661
1129	5943	46652
1130	5948	46645
1131	5954	46643
1132	5959	46639
1133	5964	46635
1134	5970	46630
1135	5975	46625
1136	5981	46628
1137	5988	46633
1138	5993	46630
1139	5999	46625
1140	6004	46622
1141	6010	46618
1142	6014	46609
1143	6020	46610
1144	6027	46614
1145	6032	46609
1146	6036	46592
1147	6041	46581
1148	6045	46571
1149	6051	46569
1150	6056	46563
1151	6061	46558
1152	6065	46544
1153	6070	46533
1154	6075	46522
1155	6079	46512
1156	6084	46506
1157	6089	46499
1158	6095	46499
1159	6100	46492
1160	6105	46485
1161	6111	46485
1162	6117	46480
1163	6122	46475
1164	6127	46472
1165	6134	46478
1166	6138	46459
1167	6143	46453
1168	6148	46444
1169	6153	46443
1170	6160	46445
1171	6165	46440
1172	6171	46443
1173	6176	46434
1174	6182	46434
1175	6187	46431
1176	6192	46418
1177	6197	46412
1178	6203	46413
1179	6209	46413
1180	6215	46412
1181	6219	46398
1182	6226	46404
1183	6231	46402
1184	6236	46391
1185	6240	46374
1186	6244	46362
1187	6249	46355
1188	6255	46356
1189	6260	46347
1190	6263	46330
1191	6269	46330
1192	6276	46334
1193	6281	46324
1194	6286	46323
1195	6292	46319
1196	6297	46312
1197	6302	46305
1198	6307	46299
1199	6313	46302
1200	6318	46292
